Month,all fuels (utility-scale) thousand megawatthours
Jan-01,332493.16
Feb-01,282940.198
Mar-01,300706.544
Apr-01,278078.871
May-01,300491.621
Jun-01,327693.978
Jul-01,357613.7
Aug-01,370532.828
Sep-01,306928.866
Oct-01,294733.613
Nov-01,278933.942
Dec-01,305496.328
Jan-02,319941.476
Feb-02,281825.712
Mar-02,302549.011
Apr-02,289848.253
May-02,307674.569
Jun-02,341023.144
Jul-02,381542.107
Aug-02,374585.819
Sep-02,331279.434
Oct-02,307059.46
Nov-02,296289.561
Dec-02,324833.705
Jan-03,341988.901
Feb-03,299248.777
Mar-03,304317.265
Apr-03,285755.699
May-03,307544.887
Jun-03,328693.698
Jul-03,374396.05
Aug-03,381816.319
Sep-03,323135.534
Oct-03,306740.933
Nov-03,297866.711
Dec-03,331680.43
Jan-04,346545.627
Feb-04,314279.9095
Mar-04,308812.0955
Apr-04,290559.9142
May-04,327380.2636
Jun-04,345085.0788
Jul-04,377331.6971
Aug-04,368439.0371
Sep-04,335622.1979
Oct-04,312450.2229
Nov-04,302101.2562
Dec-04,341947.9634
Jan-05,343121.4534
Feb-05,298500.3156
Mar-05,317458.2765
Apr-05,289562.3999
May-05,315062.1099
Jun-05,363671.636
Jul-05,402273.8465
Aug-05,404940.6811
Sep-05,350217.8005
Oct-05,316397.9236
Nov-05,306115.2362
Dec-05,348101.0706
Jan-06,328657.7385
Feb-06,307333.43
Mar-06,318729.7996
Apr-06,297858.0775
May-06,330615.57
Jun-06,364259.7976
Jul-06,410420.7933
Aug-06,407762.5364
Sep-06,332055.3208
Oct-06,321567.0913
Nov-06,309158.8264
Dec-06,336283.2459
Jan-07,353531.0948
Feb-07,323230.3948
Mar-07,320471.2425
Apr-07,303129.0636
May-07,330202.758
Jun-07,362754.8772
Jul-07,393226.4323
Aug-07,421796.6593
Sep-07,355393.9119
Oct-07,332615.4164
Nov-07,314102.5426
Dec-07,346290.3305
Jan-08,362998.429
Feb-08,325105.5971
Mar-08,324629.8496
Apr-08,305865.0312
May-08,325244.8019
Jun-08,373109.0269
Jul-08,402900.3362
Aug-08,388986.7188
Sep-08,338056.13
Oct-08,318547.3431
Nov-08,310046.2412
Dec-08,343898.2545
Jan-09,354992.6362
Feb-09,300887.3977
Mar-09,310602.9638
Apr-09,289537.2551
May-09,311305.8722
Jun-09,347658.2413
Jul-09,372542.2255
Aug-09,381221.4169
Sep-09,327400.6119
Oct-09,307040.3407
Nov-09,296634.67
Dec-09,350507.2953
Jan-10,360957.167
Feb-10,319734.7267
Mar-10,312167.6403
Apr-10,287800.2266
May-10,327936.4916
Jun-10,375759.4784
Jul-10,409725.4404
Aug-10,408884.1554
Sep-10,346045.1718
Oct-10,307920.6906
