Date,Value
200901,31.05
200902,36.77
200903,42.87
200904,50.9
200905,61.63
200906,68.5
200907,72.61
200908,71.87
200909,66.36
200910,50.49
200911,45.82
200912,29.64
201001,30.67
201002,31.8
201003,43.56
201004,53.24
201005,59.86
201006,70.47
201007,74.7
201008,74.03
201009,66.47
201010,56.14
201011,42.31
201012,32.47
201101,29.71
201102,33.04
201103,43.07
201104,51.96
201105,59.11
201106,69.8
201107,76.12
201108,74.98
201109,66.07
201110,55.08
201111,43.74
201112,35.4
201201,36.12
201202,37.51
201203,50.4
201204,54.68
201205,63.43
201206,70.52
201207,76.73
201208,73.78
201209,66.29
201210,53.89
201211,44.01
201212,35.92
201301,32.25
201302,34.77
201303,40.89
201304,49.66
201305,60.84
201306,70.38
201307,74.19
201308,72.97
201309,66.94
201310,53.42
201311,41.61
201312,31.06
201401,30.56
201402,32.13
201403,40.51
201404,51.69
201405,61.27
201406,69.57
201407,73.27
201408,72.21
201409,66.16
201410,56.91
201411,39.25
201412,36.81
201501,33.08
201502,32.99
201503,45.39
201504,53.22
201505,60.82
201506,71.33
201507,73.89
201508,72.91
201509,68.5
201510,57.24
201511,44.58
201512,38.64
201601,32.22
201602,39.47
201603,47.48
201604,53.19
201605,60.31
201606,71.74
201607,75.2
201608,73.51
201609,67.1
201610,57.7
201611,47.95
201612,32.95
201701,33.57
201702,41.16
201703,46.13
201704,53.78
201705,60.55
201706,70.32
201707,75.69
201708,72
201709,66.25
201710,55.69
201711,45.03
201712,34.29
201801,32.16
201802,35.51
201803,42.73
201804,49.01
201805,65.5
201806,71.53
201807,75.43
201808,73.49
201809,67.51
201810,53.71
201811,40.01
201812,35.51
201901,32.56
201902,31.84
201903,40.28
201904,52.83
201905,59.49
201906,68.7
201907,74.59
201908,73.72
201909,68.41
201910,52.03
201911,41.09
201912,36.43
